fecha;Linea;Cantidad
01/12/2024;ACCESORIOS;27415
01/12/2024;PRODUCTOS DE MODA;15237
01/12/2024;ROPA INTERIOR;17147
01/12/2024;MARROQUINERIA;11814
01/01/2025;PANTALON;10232
01/01/2025;CAMISETA;24971
01/01/2025;BLUSA;2497
01/01/2025;CORTOS;6397
01/01/2025;SOBRETODO;2855
01/01/2025;CALZADO;933
01/01/2025;DEPORTIVO;1219
01/01/2025;PANTALONES DE MODA;3872
01/01/2025;ACCESORIOS;6134
01/01/2025;PRODUCTOS DE MODA;1832
01/01/2025;ROPA INTERIOR;3108
01/01/2025;MARROQUINERIA;2145
01/02/2025;PANTALON;12139
01/02/2025;CAMISETA;28482
01/02/2025;BLUSA;3086
01/02/2025;CORTOS;6930
01/02/2025;SOBRETODO;4637
01/02/2025;CALZADO;1123
01/02/2025;DEPORTIVO;2269
01/02/2025;PANTALONES DE MODA;2805
01/02/2025;ACCESORIOS;7217
01/02/2025;PRODUCTOS DE MODA;2942
01/02/2025;ROPA INTERIOR;4065
01/02/2025;MARROQUINERIA;2465
01/03/2025;PANTALON;16884
01/03/2025;CAMISETA;37287
01/03/2025;BLUSA;3904
01/03/2025;CORTOS;8977
01/03/2025;SOBRETODO;5316
01/03/2025;CALZADO;1276
01/03/2025;DEPORTIVO;1401
01/03/2025;PANTALONES DE MODA;2934
01/03/2025;ACCESORIOS;8845
01/03/2025;PRODUCTOS DE MODA;3387
01/03/2025;ROPA INTERIOR;4647
01/03/2025;MARROQUINERIA;3290
01/04/2025;PANTALON;17469
01/04/2025;CAMISETA;39298
01/04/2025;BLUSA;3677
01/04/2025;CORTOS;10069
01/04/2025;SOBRETODO;5494
01/04/2025;CALZADO;1767
01/04/2025;DEPORTIVO;660
01/04/2025;PANTALONES DE MODA;4583
01/04/2025;ACCESORIOS;8419
01/04/2025;PRODUCTOS DE MODA;4729
01/04/2025;ROPA INTERIOR;4898
01/04/2025;MARROQUINERIA;2944
01/05/2025;PANTALON;20423
01/05/2025;CAMISETA;44832
01/05/2025;BLUSA;4203
01/05/2025;CORTOS;11254
01/05/2025;SOBRETODO;5411
01/05/2025;CALZADO;2114
01/05/2025;DEPORTIVO;1209
01/05/2025;PANTALONES DE MODA;5210
01/05/2025;ACCESORIOS;9672
01/05/2025;PRODUCTOS DE MODA;4465
01/05/2025;ROPA INTERIOR;4911
01/05/2025;MARROQUINERIA;3706
01/06/2025;PANTALON;31557
01/06/2025;CAMISETA;57651
01/06/2025;BLUSA;7464
01/06/2025;CORTOS;16880
01/06/2025;SOBRETODO;5513
01/06/2025;CALZADO;2472
01/06/2025;DEPORTIVO;1011
01/06/2025;PANTALONES DE MODA;6427
01/06/2025;ACCESORIOS;11496
01/06/2025;PRODUCTOS DE MODA;4931
01/06/2025;ROPA INTERIOR;5387
01/06/2025;MARROQUINERIA;4864
01/07/2025;PANTALON;27330
01/07/2025;CAMISETA;60140
01/07/2025;BLUSA;6740
01/07/2025;CORTOS;15989
01/07/2025;SOBRETODO;5487
01/07/2025;CALZADO;2847
01/07/2025;DEPORTIVO;1140
01/07/2025;PANTALONES DE MODA;7995
01/07/2025;ACCESORIOS;11136
01/07/2025;PRODUCTOS DE MODA;5014
01/07/2025;ROPA INTERIOR;5491
01/07/2025;MARROQUINERIA;4807
01/08/2025;PANTALON;24881
01/08/2025;CAMISETA;51709
01/08/2025;BLUSA;5298
01/08/2025;CORTOS;12512
01/08/2025;SOBRETODO;5286
01/08/2025;CALZADO;2636
01/08/2025;DEPORTIVO;708
01/08/2025;PANTALONES DE MODA;5519
01/08/2025;ACCESORIOS;10847
01/08/2025;PRODUCTOS DE MODA;4429
01/08/2025;ROPA INTERIOR;4732
01/08/2025;MARROQUINERIA;3727
01/09/2025;PANTALON;24988
01/09/2025;CAMISETA;55505
01/09/2025;BLUSA;6186
01/09/2025;CORTOS;12066
01/09/2025;SOBRETODO;6204
01/09/2025;CALZADO;2646
01/09/2025;DEPORTIVO;544
01/09/2025;PANTALONES DE MODA;4747
01/09/2025;ACCESORIOS;10534
01/09/2025;PRODUCTOS DE MODA;4569
01/09/2025;ROPA INTERIOR;4237
01/09/2025;MARROQUINERIA;3520
01/10/2025;PANTALON;27389
01/10/2025;CAMISETA;54068
01/10/2025;BLUSA;7364
01/10/2025;CORTOS;12454
01/10/2025;SOBRETODO;7184
01/10/2025;CALZADO;2724
01/10/2025;DEPORTIVO;414
01/10/2025;PANTALONES DE MODA;5486
01/10/2025;ACCESORIOS;9080
01/10/2025;PRODUCTOS DE MODA;5253
01/10/2025;ROPA INTERIOR;4342
01/10/2025;MARROQUINERIA;3393
01/11/2025;PANTALON;66420
01/11/2025;CAMISETA;114641
01/11/2025;BLUSA;13475
01/11/2025;CORTOS;30763
01/11/2025;SOBRETODO;13934
01/11/2025;CALZADO;6403
01/11/2025;DEPORTIVO;465
01/11/2025;PANTALONES DE MODA;8546
01/11/2025;ACCESORIOS;17796
01/11/2025;PRODUCTOS DE MODA;10067
01/11/2025;ROPA INTERIOR;6858
01/11/2025;MARROQUINERIA;6793
01/12/2025;PANTALON;109635
01/12/2025;CAMISETA;230001
01/12/2025;BLUSA;22650
01/12/2025;CORTOS;62510
01/12/2025;SOBRETODO;24115
01/12/2025;CALZADO;12178
01/12/2025;DEPORTIVO;497
01/12/2025;PANTALONES DE MODA;20580
01/12/2025;ACCESORIOS;28450
01/12/2025;PRODUCTOS DE MODA;15217
01/12/2025;ROPA INTERIOR;11835
01/12/2025;MARROQUINERIA;11592
01/01/2026;PANTALON;11310
01/01/2026;CAMISETA;26268
01/01/2026;BLUSA;2244
